Category,Name,Price,Rating,Reviews,URL,Price_Clean,Rating_Clean,Reviews_Clean,Price_per_Review,High_Rating_Flag,Price_Category
Mouse,Vertical Ergonomics Wireless Mouse 2.4G/bluetooth 1000-2400DPI Type-C Rechargeable Silent Mice,US$27.99,,1 review,https://www.banggood.com/Vertical-Ergonomics-Wireless-Mouse-2_4G-or-bluetooth-1000-2400DPI-Type-C-Rechargeable-Silent-Mice-p-2039825.html?cur_warehouse=CN&ID=6287851&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,27.99,,1,13.995,0,Moderate
Mouse,HXSJ T32 2.4G Wireless Vertical Gaming Mouse 1200-4800 DPI Aluminum Side Roller 6 Keys Ergonomic Design Anti Mouse Hand Gamer Mice for PC Laptop Computer,US$14.99,,0 review,https://www.banggood.com/HXSJ-T32-2_4G-Wireless-Vertical-Gaming-Mouse-1200-4800-DPI-Aluminum-Side-Roller-6-Keys-Ergonomic-Design-Anti-Mouse-Hand-Gamer-Mice-for-PC-Laptop-Computer-p-2036440.html?cur_warehouse=CN&ID=6292086&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,14.99,,0,14.99,0,Cheap
Mouse,JOMAA Tri-mode Touch Control Panel Gesture Trackpad with Multi Touch Control and Vibration Feedback Compatible with Windows& forMac System,US$49.99,,0 review,https://www.banggood.com/JOMAA-Tri-mode-Touch-Control-Panel-Gesture-Trackpad-with-Multi-Touch-Control-and-Vibration-Feedback-Compatible-with-Windowsand-forMac-System-p-2041479.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,49.99,,0,49.99,0,Moderate
Mouse,SHIPADOO W200 2.4G Wireless Mouse 1000DPI Ergonomics Laptop Tablet Desktop Gamer Mice Plug and Play,US$9.99,,0 review,https://www.banggood.com/SHIPADOO-W200-2_4G-Wireless-Mouse-1000DPI-Ergonomics-Laptop-Tablet-Desktop-Gamer-Mice-Plug-and-Play-p-2041950.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,9.99,,0,9.99,0,Cheap
Mouse,M820 Ergonomic Vertical Wireless Mouse 800-1600DPI 2.4G/bluetooth Dual Mode Rechargeable Mute Mice for PC Laptop Computer,US$13.99,,0 review,https://www.banggood.com/M820-Ergonomic-Vertical-Wireless-Mouse-800-1600DPI-2_4G-or-bluetooth-Dual-Mode-Rechargeable-Mute-Mice-for-PC-Laptop-Computer-p-2042767.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,13.99,,0,13.99,0,Cheap
Mouse,HXSJ T28 Dual Mode Wireless Mouse Hollow Design 800-4800DPI RGB Backlight 600mAh Rechargeable 2.4G/bluetooth Gamer Mice,US$14.99,,0 review,https://www.banggood.com/HXSJ-T28-Dual-Mode-Wireless-Mouse-Hollow-Design-800-4800DPI-RGB-Backlight-600mAh-Rechargeable-2_4G-or-bluetooth-Gamer-Mice-p-2042893.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,14.99,,0,14.99,0,Cheap
Mouse,HXSJ S500 Wired Gaming Mouse Hollow Design 6400DPI RGB Backlight 6-Keys Ergonomics PC Office Computer Gamer Mice,US$11.99,,0 review,https://www.banggood.com/HXSJ-S500-Wired-Gaming-Mouse-Hollow-Design-6400DPI-RGB-Backlight-6-Keys-Ergonomics-PC-Office-Computer-Gamer-Mice-p-2042895.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,11.99,,0,11.99,0,Cheap
Mouse,HXSJ S100 Wired Gaming Mouse 3600DPI RGB Backlit 6 Keys Ergonomic Matte Gaming Mice for PC Laptop Computer,US$12.99,,0 review,https://www.banggood.com/HXSJ-S100-Wired-Gaming-Mouse-3600DPI-RGB-Backlit-6-Keys-Ergonomic-Matte-Gaming-Mice-for-PC-Laptop-Computer-p-2042898.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,12.99,,0,12.99,0,Cheap
Mouse,SHIPADOO S310 Wired Office Mouse 1200 DPI USB Plug and Play Silent Click Ergonomic Mice,US$7.99,,0 review,https://www.banggood.com/SHIPADOO-S310-Wired-Office-Mouse-1200-DPI-USB-Plug-and-Play-Silent-Click-Ergonomic-Mice-p-2042915.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,7.99,,0,7.99,0,Cheap
Mouse,YinDiaoG10 Wired Macro Programming Gaming Mouse Colorful Water-cooled Light 7200 DPI Mice with LED Backlight 7 Button USB Gamer Mouse for PC Laptop,US$21.99,,1 review,https://www.banggood.com/YinDiaoG10-Wired-Macro-Programming-Gaming-Mouse-Colorful-Water-cooled-Light-7200-DPI-Mice-with-LED-Backlight-7-Button-USB-Gamer-Mouse-for-PC-Laptop-p-2022349.html?cur_warehouse=CN&ID=6287853&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,21.99,,1,10.995,0,Moderate
Mouse,XUNFOX H6 RGB Mecha Style Wired Gaming Mouse 1200-3600DPI 6-Keys USB Wired E-sports Gamer Mice for PC Laptop Computer,US$10.99,,0 review,https://www.banggood.com/XUNFOX-H6-RGB-Mecha-Style-Wired-Gaming-Mouse-1200-3600DPI-6-Keys-USB-Wired-E-sports-Gamer-Mice-for-PC-Laptop-Computer-p-2022568.html?cur_warehouse=CN&ID=6287832&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,10.99,,0,10.99,0,Cheap
Mouse,Wireless Gaming Mouse USB IMICE GW-X7 3200DPI Wired/Dual Mode BT+2.4G Rechargeable 7 Keys Silent Mouse 7-color Breathing LED,US$14.99,,1 review,https://www.banggood.com/Wireless-Gaming-Mouse-USB-IMICE-GW-X7-3200DPI-Wired-or-Dual-Mode-BT+2_4G-Rechargeable-7-Keys-Silent-Mouse-7-color-Breathing-LED-p-2015024.html?cur_warehouse=CN&ID=6288382&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,14.99,,1,7.495,0,Cheap
Mouse,Attack Shark X11SE Three-mode Gaming Mouse 2.4G/bluetooth/Type-C PAW3311 Mouse 22000DPI 63g Lightweight Gamer Mice,US$29.99,,1 review,https://www.banggood.com/Attack-Shark-X11SE-Three-mode-Gaming-Mouse-2_4G-or-bluetooth-or-Type-C-PAW3311-Mouse-22000DPI-63g-Lightweight-Gamer-Mice-p-2038050.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,29.99,,1,14.995,0,Moderate
Mouse,Baseus F02 Wireless Gaming Mouse PAW3311 2K NearLink bluetooth Dual Mode 12000 DPI Lightweight 80g Ergonomic Rechargeable Programmable Buttons Mice,US$29.99,,0 review,https://www.banggood.com/Baseus-F02-Wireless-Gaming-Mouse-PAW3311-2K-NearLink-bluetooth-Dual-Mode-12000-DPI-Lightweight-80g-Ergonomic-Rechargeable-Programmable-Buttons-Mice-p-2038972.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,29.99,,0,29.99,0,Moderate
Mouse,SMAILWOLF M8 Tri-mode Gaming Mouse with Charger Dock PAW3311 Sensor RGB 12000DPI 1KHz Return Rate 72g Lightweight Rechargeable Mouse,US$24.99,,1 review,https://www.banggood.com/SMAILWOLF-M8-Tri-mode-Gaming-Mouse-with-Charger-Dock-PAW3311-Sensor-RGB-12000DPI-1KHz-Return-Rate-72g-Lightweight-Rechargeable-Mouse-p-2039479.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,24.99,,1,12.495,0,Moderate
Mouse,AJAZZ AJ199 Carbon Fiber Wireless Gaming Mouse Tri-Mode PAW3311 Sensor 24000 DPI 500mAh Battery Esports Mouse 60g Lightweight,US$24.99,,0 review,https://www.banggood.com/AJAZZ-AJ199-Carbon-Fiber-Wireless-Gaming-Mouse-Tri-Mode-PAW3311-Sensor-24000-DPI-500mAh-Battery-Esports-Mouse-60g-Lightweight-p-2039594.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,24.99,,0,24.99,0,Moderate
Mouse,AULA SC900 Pro Wireless Mouse Tri-Mode 8KHz Polling Rate PAW3395 Sensor 26000 DPI 50g Lightweight Dual Battery Rechargeable Gaming Mice for PC Laptop Computer,US$52.99,,0 review,https://www.banggood.com/AULA-SC900-Pro-Wireless-Mouse-Tri-Mode-8KHz-Polling-Rate-PAW3395-Sensor-26000-DPI-50g-Lightweight-Dual-Battery-Rechargeable-Gaming-Mice-for-PC-Laptop-Computer-p-2039763.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,52.99,,0,52.99,0,Expensive
Mouse,AULA S80 Wired Gaming Mouse Transparent Ergonomic RGB Computer Mouse 7200 DPI for PC Computer Tablet Laptops Office,US$18.99,,0 review,https://www.banggood.com/AULA-S80-Wired-Gaming-Mouse-Transparent-Ergonomic-RGB-Computer-Mouse-7200-DPI-for-PC-Computer-Tablet-Laptops-Office-p-2039765.html?cur_warehouse=CN&ID=6288527&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,18.99,,0,18.99,0,Cheap
Mouse,HXSJ X400 Wired Gaming Mouse Transparent Ergonomic RGB Backlight 7 Programmable Buttons 12800 DPI High Precision,US$13.99,,0 review,https://www.banggood.com/HXSJ-X400-Wired-Gaming-Mouse-Transparent-Ergonomic-RGB-Backlight-7-Programmable-Buttons-12800-DPI-High-Precision-p-2039823.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,13.99,,0,13.99,0,Cheap
